record_id,comparison_group_id,metric_number,mapped_v4_metric_number,initiative_mapping_status,tracking_id_normalized,group_tracking_ids,wmp_category,wmp_initiative,wmp_activity,expense_type,hftd_tier,unit_canonical,actual_value_canonical,primary_driver_targeted,secondary_drivers_targeted,year_initiated,most_recent_proceeding,memorandum_account,current_compliance_status,associated_rules,other_spend_category,comments,blank_meaning,utility_id,reporting_year,schema_version,source_revision,source_file,source_sheet,source_row,source_value_cell,guideline_url
T11R-0906e157599fb891,T11-97310a8a81f2f1,,3110000162,component_of_v4_tracking_id_group,WMP.514,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,Territory,$ Thousands,4638.87818,Equipment failure,Other contact with object,2009,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Crew-accompanying ignition prevention and suppression resources and services,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,17,AF17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-303cfeca0a2a5ccd,T11-97310a8a81f2f1,,3110000163,component_of_v4_tracking_id_group,WMP.514,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,HFTD,$ Thousands,4638.87818,Equipment failure,Other contact with object,2009,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Crew-accompanying ignition prevention and suppression resources and services,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,17,AG17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-43eb28ec7222a852,T11-97310a8a81f2f1,,3110000160,component_of_v4_tracking_id_group,WMP.557,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,Territory,$ Thousands,3553.275178,Wildfire Spread,Other contact with object,2008,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Aviation Firefighting Program,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,18,AD18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-844d453da177ff3d,T11-97310a8a81f2f1,,3110000161,component_of_v4_tracking_id_group,WMP.557,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,HFTD,$ Thousands,3553.275178,Wildfire Spread,Other contact with object,2008,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Aviation Firefighting Program,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,18,AE18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-b1fbbe61d0f330b3,T11-97310a8a81f2f1,,3110000162,component_of_v4_tracking_id_group,WMP.557,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,Territory,$ Thousands,8014.16963,Wildfire Spread,Other contact with object,2008,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Aviation Firefighting Program,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,18,AF18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-5f0da69a6bcb4223,T11-97310a8a81f2f1,,3110000163,component_of_v4_tracking_id_group,WMP.557,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,HFTD,$ Thousands,8014.16963,Wildfire Spread,Other contact with object,2008,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Aviation Firefighting Program,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,18,AG18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-8f9c67f8ed11a410,T11-7c843e2300f623,,3110000168,component_of_v4_tracking_id_group,WMP.563,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,CAPEX,Territory,$ Thousands,9650.522136,PSPS Vulnerability,NA,2013,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,19,AD19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-efbe792b822da310,T11-7c843e2300f623,,3110000169,component_of_v4_tracking_id_group,WMP.563,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,CAPEX,HFTD,$ Thousands,9650.522136,PSPS Vulnerability,NA,2013,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,19,AE19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-f8ef92f13e1992d0,T11-7c843e2300f623,,3110000170,component_of_v4_tracking_id_group,WMP.563,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,OPEX,Territory,$ Thousands,4807.19951,PSPS Vulnerability,NA,2013,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,19,AF19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-bb1bf2d791fd9aea,T11-7c843e2300f623,,3110000171,component_of_v4_tracking_id_group,WMP.563,WMP.527;WMP.563,"Emergency Preparedness, Collaboration and Public Awareness","Public Communication, Outreach, and Education Awareness",,OPEX,HFTD,$ Thousands,4807.19951,PSPS Vulnerability,NA,2013,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,19,AG19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
