record_id,metric_number,legacy_metric_number_mapped,v3_1_to_v3_2_domain_status,v3_2_to_v4_label_status,metric_type,ignition_driver,line_type,hftd_tier,unit_canonical,unit_crosswalk_status,ignition_driver_tracked,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T6R-74007271d93d0be0,1060000009,2.a.t.0,exact,exact,2. Contact from object,Animal contact,Transmission,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,19,M19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-edbaad59d69aec56,1060000009,2.a.t.0,exact,exact,2. Contact from object,Animal contact,Transmission,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,19,N19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-6f572f74c5dc1eac,1060000009,2.a.t.0,exact,exact,2. Contact from object,Animal contact,Transmission,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,19,O19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-d01392df7872f9f8,1060000009,2.a.t.0,exact,exact,2. Contact from object,Animal contact,Transmission,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,19,P19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-c45afa0fa942165b,1060000010,2.a.t.2,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,20,M20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-e7413145ae951c7f,1060000010,2.a.t.2,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,20,N20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-5633381fd5c8ee5b,1060000010,2.a.t.2,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,20,O20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-d44f65e4b70df6f0,1060000010,2.a.t.2,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,20,P20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-0f35bb8474de4eba,1060000011,2.a.t.3,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,21,M21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-d9d2cce2ecba90a3,1060000011,2.a.t.3,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,21,N21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-fb4dd22448de7c4d,1060000011,2.a.t.3,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,21,O21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-8aac8de21f845336,1060000011,2.a.t.3,exact,exact,2. Contact from object,Animal contact,Transmission,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,21,P21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-7de4970eee5c3e74,1060000012,2.b.d.0,exact,exact,2. Contact from object,Balloon contact,Distribution,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,22,M22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-ccfebaca3a0a5bac,1060000012,2.b.d.0,exact,exact,2. Contact from object,Balloon contact,Distribution,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,22,N22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-adcd53cad1a897c4,1060000012,2.b.d.0,exact,exact,2. Contact from object,Balloon contact,Distribution,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,22,O22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-f75ceb0ccd5107aa,1060000012,2.b.d.0,exact,exact,2. Contact from object,Balloon contact,Distribution,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,22,P22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-64f7e688eb37df8c,1060000013,2.b.d.2,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,23,M23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-71d495d6dbb8f7f9,1060000013,2.b.d.2,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,23,N23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-f463861111a3d87a,1060000013,2.b.d.2,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,23,O23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-79f8d85162ad6aa7,1060000013,2.b.d.2,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,23,P23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-c46e972a13bfef9e,1060000014,2.b.d.3,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,24,M24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-5254d372953e3af0,1060000014,2.b.d.3,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,24,N24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
